ProblemName,Seed,T_combined,T_confgraph,T_dualproof,T_noLPinf,N_combined,N_confgraph,N_dualproof,N_noLPinf,DI_combined,DI_confgraph,DI_dualproof,DI_noLPinf,Gap_combined,Gap_confgraph,Gap_dualproof,Gap_noLPinf,GapQ_combined,GapQ_confgraph,GapQ_dualproof,GapQ_noLPinf,TQ_combined,TQ_confgraph,TQ_dualproof,TQ_noLPinf,NQ_combined,NQ_confgraph,NQ_dualproof,NQ_noLPinf,DIQ_combined,DIQ_confgraph,DIQ_dualproof,DIQ_noLPinf
leo2,0,7200.0,7200.0,7200.0,7200.0,101616,98792,92645,98306,720000.0,720000.0,720000.0,720000.0,1e+20,1e+20,1e+20,1e+20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0336703761723598,1.0049437470754583,0.942414501658088,1.0,1.0,1.0,1.0,1.0
leo2,1,7200.0,7200.0,7200.0,7200.0,110967,116130,112056,117321,720000.0,720000.0,720000.0,720000.0,1e+20,1e+20,1e+20,1e+20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9458408980489427,0.989848364742885,0.9551231237374384,1.0,1.0,1.0,1.0,1.0
leo2,2,7200.0,7200.0,7200.0,7200.0,146706,111129,108386,119104,720000.0,720000.0,720000.0,720000.0,1e+20,1e+20,1e+20,1e+20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2317470445996777,0.9330417114454594,0.9100114185921547,1.0,1.0,1.0,1.0,1.0
lotsize,0,7200.0,7200.0,7200.0,7200.0,16786,25529,32475,30540,5328.659538439192,4997.680434334666,5162.219708889706,5199.076813190153,0.67,0.54,0.57,0.65,1.0307692307692309,0.8307692307692308,0.8769230769230768,1.0,1.0,1.0,1.0,1.0,0.5496398166339227,0.8359201047806156,1.06335952848723,1.0,1.024924179792898,0.9612630499429166,0.9929108367456816,1.0
lotsize,1,7200.0,7200.0,7200.0,7200.0,20493,17210,18915,19887,5701.358704427458,5898.191969976929,5764.808490773175,5784.425002786795,0.88,0.81,0.68,0.89,0.9887640449438202,0.9101123595505618,0.7640449438202248,1.0,1.0,1.0,1.0,1.0,1.0304721677477748,0.8653894503947303,0.9511238497510937,1.0,0.9856396619682479,1.0196678091833369,0.9966087360447808,1.0
lotsize,2,7200.0,7200.0,7200.0,7200.0,17911,17047,20397,19259,5040.585031701904,5092.83117156861,4864.590924168776,4885.3189329784245,0.7,0.55,0.53,0.55,1.2727272727272725,1.0,0.9636363636363636,1.0,1.0,1.0,1.0,1.0,0.9300067500908666,0.8851446077158731,1.0590892569707668,1.0,1.0317821826688434,1.0424767024296757,0.9957570817598573,1.0
mad,0,7200.0,7200.0,7200.0,7200.0,8295624,17130554,21601059,19866742,720000.0,720000.0,720000.0,720000.0,1e+20,1e+20,1e+20,1e+20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.41756338306502394,0.8622729383610055,1.0872975045430198,1.0,1.0,1.0,1.0,1.0
mad,1,7200.0,7200.0,7200.0,7200.0,14934806,22548896,23790571,19368363,720000.0,720000.0,720000.0,720000.0,1e+20,1e+20,1e+20,1e+20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7710928383570671,1.164212793822586,1.2283212060823105,1.0,1.0,1.0,1.0,1.0
mad,2,7200.0,7200.0,7200.0,7200.0,15381075,10115378,19697850,25228092,720000.0,720000.0,720000.0,720000.0,1e+20,1e+20,1e+20,1e+20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.609680470485045,0.4009569173919296,0.7807903189825057,1.0,1.0,1.0,1.0,1.0
map10,0,1006.71,1051.44,1057.5,1074.59,1637,1494,1595,1672,11390.739125871321,12071.22296588929,11875.695919867478,12373.993462581544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9368317218660142,0.9784568998408697,0.9840962599689185,1.0,0.979066985645933,0.8935406698564593,0.9539473684210527,1.0,0.920538641006758,0.9755317070751799,0.9597302565076588,1.0
map10,1,633.84,674.45,633.71,670.14,724,768,724,768,7841.863703219099,8246.139623798083,7833.2897035669685,8197.01307545348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9458322141642046,1.00643149192706,0.9456382248485392,1.0,0.9427083333333334,1.0,0.9427083333333334,1.0,0.9566733188095186,1.005993225567947,0.9556273280842132,1.0
map10,2,792.96,821.19,788.49,797.43,965,955,965,961,9060.827479977572,9131.63689020236,8987.921251996826,9098.495253787298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9943944923065349,1.0297957187464732,0.9887889846130695,1.0,1.004162330905307,0.9937565036420395,1.004162330905307,1.0,0.9958599996198221,1.0036425403861444,0.9878470012121571,1.0
map16715-04,0,2158.43,2149.49,1917.79,1928.5,1933,1961,1782,1780,105052.04735655236,104596.24709408669,89208.53040558666,89547.68209627879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.119227378791807,1.1145916515426497,0.9944464609800363,1.0,1.0859550561797753,1.101685393258427,1.001123595505618,1.0,1.1731408887122703,1.1680508601174977,0.9962126134060345,1.0
map16715-04,1,2335.51,2407.24,2181.44,2201.33,2173,2279,2323,2317,114012.38505556673,115713.0286162938,104776.1528368782,104284.82094518252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0609540595912472,1.0935389060249938,0.9909645532473551,1.0,0.9378506689684938,0.983599482088908,1.002589555459646,1.0,1.0932788110697098,1.109586491759127,1.004711442060719,1.0
map16715-04,2,2160.04,2052.84,1978.4,1987.28,1990,1982,1989,1903,105132.8366379955,100203.21914765998,106845.974204991,107307.62703418714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0869328932007567,1.03298981522483,0.995531580854233,1.0,1.0457172884918549,1.0415133998949029,1.045191802417236,1.0,0.9797331237648301,0.9337940080972644,0.9956978563224675,1.0
markshare2,0,7200.0,7200.0,7200.0,7200.0,5827069,5339206,7092947,5801369,720000.0,720000.0,720000.0,720000.0,1e+20,1e+20,1e+20,1e+20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0044299888526311,0.9203355277004445,1.2226333129301032,1.0,1.0,1.0,1.0,1.0
markshare2,1,7200.0,7200.0,7200.0,7200.0,5581862,6744463,7825289,5912079,720000.0,720000.0,720000.0,720000.0,1e+20,1e+20,1e+20,1e+20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9441453674756376,1.1407937884456552,1.3236103577100373,1.0,1.0,1.0,1.0,1.0
markshare2,2,7200.0,7200.0,7200.0,7200.0,5052479,5448970,8087128,5830446,720000.0,720000.0,720000.0,720000.0,1e+20,1e+20,1e+20,1e+20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8665681836346654,0.9345717291610282,1.3870513507886018,1.0,1.0,1.0,1.0,1.0
