ProblemName,Seed,T_useinf-b_usebound_b,T_useinf-b_usebound_b-no-vbound,N_useinf-b_usebound_b,N_useinf-b_usebound_b-no-vbound,DI_useinf-b_usebound_b,DI_useinf-b_usebound_b-no-vbound,Gap_useinf-b_usebound_b,Gap_useinf-b_usebound_b-no-vbound,GapQ_useinf-b_usebound_b,GapQ_useinf-b_usebound_b-no-vbound,TQ_useinf-b_usebound_b,TQ_useinf-b_usebound_b-no-vbound,NQ_useinf-b_usebound_b,NQ_useinf-b_usebound_b-no-vbound,DIQ_useinf-b_usebound_b,DIQ_useinf-b_usebound_b-no-vbound
eilA101-2,0,7200.0,7200.0,11110,11030,61136.06694037233,61133.03892457865,20.05,20.05,1.0,1.0,1.0,1.0,1.0072529465095195,1.0,1.000049531576492,1.0
eilA101-2,1,7200.0,7200.0,12688,12683,59691.95840256153,59749.649680490664,13.2,13.2,1.0,1.0,1.0,1.0,1.0003942284948355,1.0,0.9990344499384075,1.0
eilA101-2,2,7200.0,7200.0,13480,13542,60355.81189969616,60320.43502746337,13.37,13.37,1.0,1.0,1.0,1.0,0.9954216511593561,1.0,1.0005864823789266,1.0
enlight_hard,0,0.5,0.5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
enlight_hard,1,0.5,0.5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
enlight_hard,2,0.5,0.5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
ex10,0,493.8,492.89,1,1,24700.0,24650.0,0.0,0.0,0.0,0.0,1.0018462537280124,1.0,1.0,1.0,1.002028397565923,1.0
ex10,1,497.94,501.87,1,1,24900.0,25100.0,0.0,0.0,0.0,0.0,0.9921692868671169,1.0,1.0,1.0,0.9920318725099602,1.0
ex10,2,581.12,578.19,1,1,29050.0,28900.0,0.0,0.0,0.0,0.0,1.0050675383524446,1.0,1.0,1.0,1.005190311418685,1.0
ex9,0,27.98,28.9,1,1,1400.0,1445.0,0.0,0.0,0.0,0.0,0.968166089965398,1.0,1.0,1.0,0.9688581314878892,1.0
ex9,1,27.3,27.4,1,1,1365.0,1370.0,0.0,0.0,0.0,0.0,0.9963503649635037,1.0,1.0,1.0,0.9963503649635036,1.0
ex9,2,27.02,27.37,1,1,1350.0,1370.0,0.0,0.0,0.0,0.0,0.9872122762148338,1.0,1.0,1.0,0.9854014598540146,1.0
exp-1-500-5-5,0,2.28,2.26,1,1,11.236599025604445,10.4561286748524,0.0,0.0,0.0,0.0,1.008849557522124,1.0,1.0,1.0,1.0746423819964193,1.0
exp-1-500-5-5,1,2.22,2.25,1,1,11.534146341463414,11.434606219739859,0.0,0.0,0.0,0.0,0.9866666666666668,1.0,1.0,1.0,1.0087051639392457,1.0
exp-1-500-5-5,2,2.21,2.22,1,1,10.800395373897736,11.40692397589813,0.0,0.0,0.0,0.0,0.9954954954954954,1.0,1.0,1.0,0.9468280315287506,1.0
fast0507,0,322.23,321.56,1284,1284,580.8892862068959,580.2396212643671,0.0,0.0,0.0,0.0,1.0020835924866278,1.0,1.0,1.0,1.0011196493978007,1.0
fast0507,1,280.17,278.55,1223,1223,550.1830798850568,548.6904511494246,0.0,0.0,0.0,0.0,1.005815831987076,1.0,1.0,1.0,1.002720347570302,1.0
