ProblemName,Seed,T_combined,T_combined-no-flowcover-no-mir,N_combined,N_combined-no-flowcover-no-mir,DI_combined,DI_combined-no-flowcover-no-mir,Gap_combined,Gap_combined-no-flowcover-no-mir,GapQ_combined,GapQ_combined-no-flowcover-no-mir,TQ_combined,TQ_combined-no-flowcover-no-mir,NQ_combined,NQ_combined-no-flowcover-no-mir,DIQ_combined,DIQ_combined-no-flowcover-no-mir
cmflsp50-24-8-8,1,7200.0,7200.0,85475,81376,8745.651180930463,8842.503192417866,1.99,2.09,0.952153110047847,1.0,1.0,1.0,1.0503711167911916,1.0,0.9890469916289711,1.0
cmflsp50-24-8-8,2,7200.0,7200.0,37790,35336,10278.781070052586,10414.072588124809,4.86,3.8,1.2789473684210528,1.0,1.0,1.0,1.069447588861218,1.0,0.9870087790413046,1.0
co-100,0,7200.0,7200.0,54008,54003,110465.0181735428,110876.56763004868,1.74,1.74,1.0,1.0,1.0,1.0,1.0000925874488453,1.0,0.9962882197266508,1.0
co-100,1,7200.0,7200.0,7012,7012,349020.13818441913,349019.4373148477,91.77,91.77,1.0,1.0,1.0,1.0,1.0,1.0,1.0000020081104273,1.0
co-100,2,7200.0,7200.0,10565,10693,245946.05853016334,245494.99773680637,3.18,3.05,1.0426229508196723,1.0,1.0,1.0,0.9880295520433928,1.0,1.0018373522781125,1.0
cod105,0,7200.0,7200.0,7261,7347,247748.43619184915,247751.6588488682,47.57,47.41,1.0033748154397808,1.0,1.0,1.0,0.9882945419899278,1.0,0.9999869923897422,1.0
cod105,1,7200.0,7200.0,6829,6829,247748.77994169533,247748.09244200293,48.0,48.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000027749948976,1.0
cod105,2,7200.0,7200.0,6601,6621,247735.7604052158,247731.97915690774,48.07,48.06,1.000208073241781,1.0,1.0,1.0,0.9969793082615919,1.0,1.0000152634646562,1.0
comp07-2idx,0,7200.0,7200.0,3996,3999,6232.0148211666665,6236.896975916666,966.67,966.67,1.0,1.0,1.0,1.0,0.9992498124531133,1.0,0.9992172141420884,1.0
comp07-2idx,1,7200.0,7200.0,743,745,7207.565722583334,7140.8110495833325,2800.0,2800.0,1.0,1.0,1.0,1.0,0.9973154362416108,1.0,1.0093483320783143,1.0
comp07-2idx,2,7200.0,7200.0,1449,1454,5014.6098600000005,5018.8195166666665,1716.67,1716.67,1.0,1.0,1.0,1.0,0.9965612104539202,1.0,0.9991612257319303,1.0
comp21-2idx,0,7200.0,7200.0,10931,10854,290442.8176014865,290514.23001432436,247.43,247.43,1.0,1.0,1.0,1.0,1.0070941588354523,1.0,0.9997541861793333,1.0
comp21-2idx,1,7200.0,7200.0,9835,9837,304059.6857243244,304076.31077310815,195.5,195.5,1.0,1.0,1.0,1.0,0.9997966859814984,1.0,0.9999453260639031,1.0
comp21-2idx,2,7200.0,7200.0,11711,11693,308228.4431078378,308243.61211729725,248.72,248.72,1.0,1.0,1.0,1.0,1.0015393825365604,1.0,0.9999507888927357,1.0
cost266-UUE,0,4923.15,5039.76,375684,383777,18442.076416295735,18651.556545989122,0.0,0.0,0.0,0.0,0.9768619934282584,1.0,0.9789122328852432,1.0,0.9887687588337803,1.0
cost266-UUE,1,3728.83,3690.46,294630,294630,13227.091766782543,13091.55022257365,0.0,0.0,0.0,0.0,1.0103970778710514,1.0,1.0,1.0,1.010353360901078,1.0
cost266-UUE,2,4067.72,4047.47,306702,306702,15450.64854860508,15376.30887892637,0.0,0.0,0.0,0.0,1.0050031254092062,1.0,1.0,1.0,1.0048346888882154,1.0
