ProblemName,Seed,T_combined,T_combined-no-presol,N_combined,N_combined-no-presol,DI_combined,DI_combined-no-presol,Gap_combined,Gap_combined-no-presol,GapQ_combined,GapQ_combined-no-presol,TQ_combined,TQ_combined-no-presol,NQ_combined,NQ_combined-no-presol,DIQ_combined,DIQ_combined-no-presol
cbs-cta,0,40.27,40.01,1,1,15.0,15.0,0.0,0.0,0.0,0.0,1.0064983754061485,1.0,1.0,1.0,1.0,1.0
cbs-cta,1,314.1,314.43,31,31,15.0,15.0,0.0,0.0,0.0,0.0,0.9989504818242535,1.0,1.0,1.0,1.0,1.0
cbs-cta,2,35.77,35.75,1,1,15.0,15.0,0.0,0.0,0.0,0.0,1.0005594405594407,1.0,1.0,1.0,1.0,1.0
chromaticindex1024-7,0,7200.0,7200.0,964,971,187931.0,188269.5,33.33,33.33,1.0,1.0,1.0,1.0,0.9927909371781668,1.0,0.9982020454720494,1.0
chromaticindex1024-7,1,7200.0,7200.0,1171,1165,190411.75,189454.75,33.33,33.33,1.0,1.0,1.0,1.0,1.0051502145922746,1.0,1.0050513381163575,1.0
chromaticindex1024-7,2,6429.72,6477.87,757,757,170155.5,171471.75,0.0,0.0,0.0,0.0,0.9925670011902061,1.0,1.0,1.0,0.992323808440749,1.0
chromaticindex512-7,0,1172.37,1181.69,361,361,31401.75,31668.5,0.0,0.0,0.0,0.0,0.9921129907166852,1.0,1.0,1.0,0.9915768034482214,1.0
chromaticindex512-7,1,3689.97,3699.54,3133,3133,94038.0,94288.5,0.0,0.0,0.0,0.0,0.9974131919103456,1.0,1.0,1.0,0.9973432603127634,1.0
chromaticindex512-7,2,7200.0,7200.0,40579,40579,183742.5,183760.25,33.33,33.33,1.0,1.0,1.0,1.0,1.0,1.0,0.9999034067487392,1.0
cmflsp50-24-8-8,0,7200.0,7200.0,36090,34871,11790.122833283533,11807.017791662536,3.98,4.16,0.9567307692307692,1.0,1.0,1.0,1.034957414470477,1.0,0.9985690748775754,1.0
cmflsp50-24-8-8,1,7200.0,7200.0,85475,77152,8745.651180930463,8453.081228949397,1.99,1.71,1.1637426900584795,1.0,1.0,1.0,1.107877955205309,1.0,1.0346110423000665,1.0
cmflsp50-24-8-8,2,7200.0,7200.0,37790,48745,10278.781070052586,10340.52169343858,4.86,3.8,1.2789473684210528,1.0,1.0,1.0,0.7752590009231716,1.0,0.9940292544983323,1.0
co-100,0,7200.0,7200.0,54008,53530,110465.0181735428,111106.97483830385,1.74,1.75,0.9942857142857143,1.0,1.0,1.0,1.0089295722025033,1.0,0.9942221749292041,1.0
co-100,1,7200.0,7200.0,7012,7012,349020.13818441913,349016.88627590565,91.77,91.77,1.0,1.0,1.0,1.0,1.0,1.0,1.00000931733862,1.0
co-100,2,7200.0,7200.0,10565,10349,245946.05853016334,246894.42360337262,3.18,3.29,0.966565349544073,1.0,1.0,1.0,1.0208715817953427,1.0,0.9961588234380993,1.0
cod105,0,7200.0,7200.0,7261,7317,247748.43619184915,247749.4674413877,47.57,47.45,1.0025289778714435,1.0,1.0,1.0,0.992346590132568,1.0,0.9999958375307555,1.0
cod105,1,7200.0,7200.0,6829,6901,247748.77994169533,247748.77994169533,48.0,47.95,1.0010427528675703,1.0,1.0,1.0,0.9895667294594986,1.0,1.0,1.0
cod105,2,7200.0,7200.0,6601,6573,247735.7604052158,247735.20181392677,48.07,48.07,1.0,1.0,1.0,1.0,1.0042598509052183,1.0,1.0000022547917493,1.0
comp07-2idx,0,7200.0,7200.0,3996,4001,6232.0148211666665,6216.428120166667,966.67,966.67,1.0,1.0,1.0,1.0,0.9987503124218945,1.0,1.0025073403405782,1.0
comp07-2idx,1,7200.0,7200.0,743,745,7207.565722583334,7163.415935666667,2800.0,2800.0,1.0,1.0,1.0,1.0,0.9973154362416108,1.0,1.006163230965948,1.0
comp07-2idx,2,7200.0,7200.0,1449,1452,5014.6098600000005,5021.851923333333,1716.67,1716.67,1.0,1.0,1.0,1.0,0.9979338842975206,1.0,0.9985578899091622,1.0
