ProblemName,Seed,T_useinf-b_usebound_b,T_useinf-b_usebound_b-no-nnzcancel,N_useinf-b_usebound_b,N_useinf-b_usebound_b-no-nnzcancel,DI_useinf-b_usebound_b,DI_useinf-b_usebound_b-no-nnzcancel,Gap_useinf-b_usebound_b,Gap_useinf-b_usebound_b-no-nnzcancel,GapQ_useinf-b_usebound_b,GapQ_useinf-b_usebound_b-no-nnzcancel,TQ_useinf-b_usebound_b,TQ_useinf-b_usebound_b-no-nnzcancel,NQ_useinf-b_usebound_b,NQ_useinf-b_usebound_b-no-nnzcancel,DIQ_useinf-b_usebound_b,DIQ_useinf-b_usebound_b-no-nnzcancel
radiationm40-10-02,0,7200.0,7200.0,53316,51902,439.4725954109531,444.47773743299683,67.02,67.02,1.0,1.0,1.0,1.0,1.0272436514970522,1.0,0.9887392739826519,1.0
radiationm40-10-02,1,7200.0,7200.0,27109,26807,629.3669428564119,644.063185645864,57.74,57.74,1.0,1.0,1.0,1.0,1.0112657141791324,1.0,0.9771819859961182,1.0
radiationm40-10-02,2,7200.0,7200.0,99008,98555,468.44499060048923,458.5494489080706,22.69,22.69,1.0,1.0,1.0,1.0,1.0045964182436202,1.0,1.021580097230479,1.0
rail01,0,7200.0,7200.0,200,201,102737.73957369693,102491.09764902938,2.74,2.74,1.0,1.0,1.0,1.0,0.9950248756218906,1.0,1.0024064716870547,1.0
rail01,1,7200.0,7200.0,182,183,126758.2676199799,126339.18728750599,25.21,25.21,1.0,1.0,1.0,1.0,0.994535519125683,1.0,1.003317104862486,1.0
rail01,2,7200.0,7200.0,183,178,114988.18186735461,115500.54148980207,7.32,7.32,1.0,1.0,1.0,1.0,1.0280898876404494,1.0,0.9955640067497632,1.0
rail02,0,7200.0,7200.0,1,1,708640.5016301954,708638.5647546604,1e+20,1e+20,1.0,1.0,1.0,1.0,1.0,1.0,1.0000027332347283,1.0
rail02,1,7200.0,7200.0,1,1,708645.3438190331,708640.5016301954,1e+20,1e+20,1.0,1.0,1.0,1.0,1.0,1.0,1.0000068330681446,1.0
rail02,2,7200.0,7200.0,1,1,708638.5647546604,708638.5647546604,1e+20,1e+20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rail507,0,156.67,157.47,623,623,518.2466988505739,523.5403367816083,0.0,0.0,0.0,0.0,0.994919667238204,1.0,1.0,1.0,0.9898887677622391,1.0
rail507,1,180.04,178.99,783,783,535.9986402298842,530.4765540229878,0.0,0.0,0.0,0.0,1.0058662495111457,1.0,1.0,1.0,1.010409670634863,1.0
rail507,2,193.43,193.76,771,771,550.3129764367807,550.6430333333324,0.0,0.0,0.0,0.0,0.9982968620974402,1.0,1.0,1.0,0.9994005973442474,1.0
ran14x18-disj-8,0,2109.62,1646.55,656920,581323,4720.022399515085,4048.476453394396,0.0,0.0,0.0,0.0,1.2812365248549997,1.0,1.1300430225537266,1.0,1.1658762138921768,1.0
ran14x18-disj-8,1,1785.31,1325.91,564900,421619,4187.8742715517255,3399.3343752693963,0.0,0.0,0.0,0.0,1.346479021954733,1.0,1.3398352541038236,1.0,1.231968911919657,1.0
ran14x18-disj-8,2,1694.59,1620.56,593570,585345,4183.58199137931,4047.9436333512926,0.0,0.0,0.0,0.0,1.0456817396455547,1.0,1.0140515422528593,1.0,1.0335079660967814,1.0
rd-rplusc-21,0,7200.0,7200.0,484631,457613,719565.4894018477,719565.477309604,165331.8,165773.94,0.9973328739125099,1.0,1.0,1.0,1.0590411548622962,1.0,1.0000000168049248,1.0
rd-rplusc-21,1,7200.0,7200.0,737139,688442,719565.4198714455,719565.4259175676,165995.47,166720.0,0.9956542106525912,1.0,1.0,1.0,1.0707350800793676,1.0,0.9999999915975367,1.0
rd-rplusc-21,2,7200.0,7200.0,763715,606726,719572.430754465,719565.4380098113,165939.97,165562.13,1.002282164405592,1.0,1.0,1.0,1.2587477708224142,1.0,1.0000097180107386,1.0
reblock115,0,4390.48,4402.19,704168,704168,1478.2679172660025,1479.1225156202286,0.0,0.0,0.0,0.0,0.9973399603379227,1.0,1.0,1.0,0.9994222261204186,1.0
reblock115,1,6605.46,6584.39,882785,882785,1973.6116948011038,1968.385190696477,0.0,0.0,0.0,0.0,1.0031999927100308,1.0,1.0,1.0,1.0026552242565783,1.0
reblock115,2,5894.68,5885.72,832788,832788,1732.8197741363647,1730.7887403393988,0.0,0.0,0.0,0.0,1.0015223286190984,1.0,1.0,1.0,1.0011734729661852,1.0
rmatr100-p10,0,166.48,168.13,809,809,1475.9526373522458,1479.8383678486998,0.0,0.0,0.0,0.0,0.990186165467198,1.0,1.0,1.0,0.9973742196574462,1.0
rmatr100-p10,1,162.84,164.49,822,822,1414.5622420803788,1426.304465484634,0.0,0.0,0.0,0.0,0.9899689950756885,1.0,1.0,1.0,0.9917673794842496,1.0
rmatr100-p10,2,160.62,160.06,827,783,1470.6039044917256,1491.3912465721041,0.0,0.0,0.0,0.0,1.003498687992003,1.0,1.0561941251596425,1.0,0.9860617781362487,1.0
rmatr200-p5,0,7200.0,7200.0,421,423,197306.47121875687,197299.68296704267,22.4,22.4,1.0,1.0,1.0,1.0,0.9952718676122931,1.0,1.0000344057912922,1.0
rmatr200-p5,1,7200.0,7200.0,423,427,159106.05792634375,159065.3407719531,19.56,19.56,1.0,1.0,1.0,1.0,0.990632318501171,1.0,1.0002559775384947,1.0
rmatr200-p5,2,7200.0,7200.0,403,392,162417.46456536168,162827.39059610706,21.08,21.08,1.0,1.0,1.0,1.0,1.028061224489796,1.0,0.9974824504080999,1.0
rocI-4-11,0,638.21,637.01,12970,12970,29120.536456756792,29063.095851871356,0.0,0.0,0.0,0.0,1.0018838008822468,1.0,1.0,1.0,1.0019764103995734,1.0
rocI-4-11,1,1001.8,1001.58,17602,17602,45696.66887057146,45686.64363310051,0.0,0.0,0.0,0.0,1.0002196529483416,1.0,1.0,1.0,1.000219434755406,1.0
rocI-4-11,2,498.07,499.15,9550,9550,22732.554795173884,22781.771620049585,0.0,0.0,0.0,0.0,0.9978363217469699,1.0,1.0,1.0,0.9978396401431578,1.0
rocII-5-11,0,7200.0,7200.0,3399,3526,314251.6062499406,314255.94820603624,108.52,108.38,1.0012917512456172,1.0,1.0,1.0,0.9639818491208167,1.0,0.9999861833765743,1.0
rocII-5-11,1,7200.0,7200.0,2764,2882,314719.6675307751,314706.4289228537,109.87,109.24,1.0057671182716954,1.0,1.0,1.0,0.9590562109646079,1.0,1.0000420665315504,1.0
