ProblemName,Seed,T_combined,T_combined-disable-all,N_combined,N_combined-disable-all,DI_combined,DI_combined-disable-all,Gap_combined,Gap_combined-disable-all,GapQ_combined,GapQ_combined-disable-all,TQ_combined,TQ_combined-disable-all,NQ_combined,NQ_combined-disable-all,DIQ_combined,DIQ_combined-disable-all
cryptanalysiskb128n5obj14,2,7200.0,7200.0,90,90,720000.0,720000.0,1e+20,1e+20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cryptanalysiskb128n5obj16,0,7200.0,7200.0,104,103,7200.0,7200.0,1e+20,1e+20,1.0,1.0,1.0,1.0,1.0097087378640777,1.0,1.0,1.0
cryptanalysiskb128n5obj16,1,2790.65,2794.81,37,37,7350.0,7300.0,0.0,0.0,0.0,0.0,0.9985115267227469,1.0,1.0,1.0,1.0068493150684932,1.0
cryptanalysiskb128n5obj16,2,7200.0,7200.0,97,96,7300.0,7450.0,1e+20,1e+20,1.0,1.0,1.0,1.0,1.0104166666666667,1.0,0.9798657718120806,1.0
csched007,0,2327.77,2593.31,187288,194436,16205.184854415957,17933.30104871795,0.0,0.0,0.0,0.0,0.8976057625197142,1.0,0.9632372605896028,1.0,0.9036364699612548,1.0
csched007,1,2613.95,6565.31,220934,325202,16818.595935897436,37140.31304985752,0.0,0.0,0.0,0.0,0.3981457082757706,1.0,0.6793746655924625,1.0,0.4528393692675662,1.0
csched007,2,3393.08,3184.68,247755,267948,21171.48683076923,20223.599575783483,0.0,0.0,0.0,0.0,1.0654382857932352,1.0,0.9246383626673832,1.0,1.0468703531947292,1.0
csched008,0,7200.0,7200.0,455870,649712,8192.290320809263,6460.576037572262,2.81,1.16,2.4224137931034484,1.0,1.0,1.0,0.7016493461718423,1.0,1.2680433251100223,1.0
csched008,1,7200.0,7200.0,694455,732021,6763.466872832382,6414.952965317923,2.33,1.74,1.339080459770115,1.0,1.0,1.0,0.9486818001122919,1.0,1.0543283652115112,1.0
csched008,2,5772.95,4495.94,546382,406564,3644.5367774566475,3402.3924566474043,0.0,0.0,0.0,0.0,1.2840362638291436,1.0,1.3439015751517596,1.0,1.0711688389551168,1.0
cvs16r128-89,0,7200.0,7200.0,67980,22686,136211.38403090596,141864.25197514702,23.28,24.31,0.9576306046894283,1.0,1.0,1.0,2.996561756149167,1.0,0.960152978177819,1.0
cvs16r128-89,1,7200.0,7200.0,34973,35961,137236.28053173164,138899.28765190058,22.61,24.42,0.9258804258804257,1.0,1.0,1.0,0.9725257918300381,1.0,0.9880272451480338,1.0
cvs16r128-89,2,7200.0,7200.0,47219,25918,134079.04376807137,137927.96882631117,23.01,23.06,0.9978317432784043,1.0,1.0,1.0,1.821861254726445,1.0,0.9720946731037078,1.0
dano3_3,0,143.7,146.76,10,12,1862.9259719075267,1865.4614904556868,0.0,0.0,0.0,0.0,0.9791496320523303,1.0,0.8333333333333334,1.0,0.9986408089573906,1.0
dano3_3,1,142.65,143.82,14,16,1263.5882429307567,1261.1101628834397,0.0,0.0,0.0,0.0,0.9918648310387986,1.0,0.875,1.0,1.0019649988718282,1.0
dano3_3,2,124.56,124.92,17,17,1592.932607518342,1595.4363636156163,0.0,0.0,0.0,0.0,0.9971181556195965,1.0,1.0,1.0,0.9984306762999934,1.0
dano3_5,0,635.04,636.02,276,276,1347.909644561208,1343.02149766677,0.0,0.0,0.0,0.0,0.9984591679506933,1.0,1.0,1.0,1.0036396639241667,1.0
dano3_5,1,285.81,283.82,159,166,1780.2608740715739,1780.164440248355,0.0,0.0,0.0,0.0,1.0070114861531958,1.0,0.9578313253012049,1.0,1.0000541713007172,1.0
dano3_5,2,285.94,286.37,140,140,1567.9150744635906,1577.9188377376433,0.0,0.0,0.0,0.0,0.9984984460662779,1.0,1.0,1.0,0.9936601534661974,1.0
decomp2,0,2.39,2.38,1,1,120.0,120.0,0.0,0.0,0.0,0.0,1.0042016806722691,1.0,1.0,1.0,1.0,1.0
decomp2,1,2.42,2.48,1,1,114.99999999999999,114.99999999999999,0.0,0.0,0.0,0.0,0.9758064516129032,1.0,1.0,1.0,1.0,1.0
decomp2,2,2.5,2.47,1,1,125.0,125.0,0.0,0.0,0.0,0.0,1.0121457489878543,1.0,1.0,1.0,1.0,1.0
drayage-100-23,0,16.43,16.48,32,32,303.7752256149986,307.78574378611876,0.0,0.0,0.0,0.0,0.9969660194174756,1.0,1.0,1.0,0.9869697727978359,1.0
drayage-100-23,1,19.52,19.56,48,48,298.54528306702053,298.9589585722188,0.0,0.0,0.0,0.0,0.9979550102249489,1.0,1.0,1.0,0.9986162799496829,1.0
drayage-100-23,2,13.5,13.55,16,16,276.58665329760555,277.80141004102325,0.0,0.0,0.0,0.0,0.9963099630996309,1.0,1.0,1.0,0.9956272477406133,1.0
drayage-25-23,0,7200.0,7200.0,720814,729556,1530.66314982333,1444.1442331283233,0.07,0.07,1.0,1.0,1.0,1.0,0.9880173694685535,1.0,1.0599101632027352,1.0
drayage-25-23,1,7200.0,7200.0,790871,729645,940.2790696522105,1143.8822446001877,0.07,0.07,1.0,1.0,1.0,1.0,1.0839120394164286,1.0,0.8220068753500576,1.0
drayage-25-23,2,6941.84,4836.97,552534,548267,1277.0347172139345,1143.3414644560462,0.0,0.0,0.0,0.0,1.4351629222426436,1.0,1.0077827044122663,1.0,1.1169320425385727,1.0
dws008-01,0,7200.0,7200.0,144766,174291,275072.23956510815,286015.6873650753,44.84,47.99,0.9343613252760993,1.0,1.0,1.0,0.8305993998542667,1.0,0.9617382951935824,1.0
dws008-01,1,7200.0,7200.0,157395,183415,262978.3312515146,273092.46632983984,44.28,45.37,0.9759753140841967,1.0,1.0,1.0,0.8581359212714337,1.0,0.9629644302742888,1.0
dws008-01,2,7200.0,7200.0,153108,169600,281202.08588068804,271488.862916079,52.63,45.33,1.1610412530333114,1.0,1.0,1.0,0.9027594339622641,1.0,1.0357776111339474,1.0
eil33-2,0,81.2,76.84,343,561,933.6795582576123,856.0063340448103,0.0,0.0,0.0,0.0,1.0567412805830296,1.0,0.6114081996434938,1.0,1.0907390764806373,1.0
eil33-2,1,101.92,76.74,395,561,1109.1921272024756,854.9439718924109,0.0,0.0,0.0,0.0,1.3281209278081836,1.0,0.7040998217468806,1.0,1.2973857511940678,1.0
eil33-2,2,105.72,63.4,541,613,962.4049616213214,688.5011881847845,0.0,0.0,0.0,0.0,1.6675078864353312,1.0,0.8825448613376835,1.0,1.3978261448737324,1.0
eilA101-2,0,7200.0,7200.0,11110,11243,61136.06694037233,62116.05036665141,20.05,8.9,2.252808988764045,1.0,1.0,1.0,0.9881704171484479,1.0,0.9842233461320455,1.0
eilA101-2,1,7200.0,7200.0,12688,11442,59691.95840256153,60532.218136866526,13.2,13.47,0.9799554565701558,1.0,1.0,1.0,1.1088970459709842,1.0,0.9861188015214456,1.0
eilA101-2,2,7200.0,7200.0,13480,11744,60355.81189969616,61661.03751715023,13.37,17.64,0.7579365079365079,1.0,1.0,1.0,1.1478201634877385,1.0,0.9788322469097112,1.0
enlight_hard,0,0.5,0.5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
