ProblemName,Seed,T_combined,T_combined-no-filtering,N_combined,N_combined-no-filtering,DI_combined,DI_combined-no-filtering,Gap_combined,Gap_combined-no-filtering,GapQ_combined,GapQ_combined-no-filtering,TQ_combined,TQ_combined-no-filtering,NQ_combined,NQ_combined-no-filtering,DIQ_combined,DIQ_combined-no-filtering
glass-sc,1,3214.67,3226.08,289206,289204,46758.05088173914,46896.3852726087,0.0,0.0,0.0,0.0,0.9964631999206468,1.0,1.0000069155336717,1.0,0.9970502120778516,1.0
glass4,0,4008.75,2961.34,2705421,2175685,115238.12619050834,94966.16868631213,0.0,0.0,0.0,0.0,1.3536946112232975,1.0,1.2434800993710027,1.0,1.2134650453379625,1.0
glass4,1,2392.84,1734.58,1888717,1609175,65192.70388069259,49040.908411961675,0.0,0.0,0.0,0.0,1.3794924419744263,1.0,1.1737175882051363,1.0,1.3293535130517953,1.0
glass4,2,2212.84,3446.14,1599046,2337682,59809.337062710845,102777.37069544103,0.0,0.0,0.0,0.0,0.6421213299517722,1.0,0.6840305909871403,1.0,0.5819309898473969,1.0
graphdraw-domain,0,1010.47,813.34,1823083,1597956,16022.469596159708,13164.489942090826,0.0,0.0,0.0,0.0,1.2423709641724248,1.0,1.14088435476321,1.0,1.2170976366453108,1.0
graphdraw-domain,1,1122.85,1082.01,1941578,1869096,17974.215538961696,17386.102417962004,0.0,0.0,0.0,0.0,1.037744567979963,1.0,1.0387791745314312,1.0,1.0338266223712165,1.0
graphdraw-domain,2,1664.67,1619.84,2907888,3139503,23908.33903586305,23873.264832876157,0.0,0.0,0.0,0.0,1.0276755728960887,1.0,0.9262255841131543,1.0,1.0014691833409644,1.0
h80x6320d,1,86.17,84.66,10,8,215.91991323207472,220.66307696018606,0.0,0.0,0.0,0.0,1.0178360500826837,1.0,1.25,1.0,0.9785049506539458,1.0
irp,0,12.51,12.07,6,5,136.1199738745196,136.1141081070543,0.0,0.0,0.0,0.0,1.036454018227009,1.0,1.2,1.0,1.0000430944855523,1.0
irp,2,12.58,12.21,5,4,136.1371925077811,136.1465551589913,0.0,0.0,0.0,0.0,1.0303030303030303,1.0,1.25,1.0,0.9999312310825692,1.0
markshare_4_0,0,72.47,139.43,612396,1159084,7247.0,13943.0,0.0,0.0,0.0,0.0,0.5197590188625116,1.0,0.5283447964081982,1.0,0.5197590188625116,1.0
markshare_4_0,1,70.48,174.69,589762,1459529,7048.0,17468.999999995922,0.0,0.0,0.0,0.0,0.40345755338027367,1.0,0.4040769316676818,1.0,0.4034575533803678,1.0
markshare_4_0,2,85.88,188.56,719508,1569373,8588.0,18855.999999995678,0.0,0.0,0.0,0.0,0.45545184556639795,1.0,0.45846844567862455,1.0,0.45545184556650237,1.0
mas74,0,1680.79,1776.06,4932223,5268095,6714.657077007676,7029.931699636019,0.0,0.0,0.0,0.0,0.9463587941848811,1.0,0.9362441261974205,1.0,0.9551525340360466,1.0
mas74,1,2282.09,2335.34,7992914,8710934,7947.64328439701,8485.607505080421,0.0,0.0,0.0,0.0,0.9771981809929176,1.0,0.9175725588094227,1.0,0.9366027452529089,1.0
mas74,2,1563.59,1338.68,4674399,4115864,6164.667939272116,5242.0746705238635,0.0,0.0,0.0,0.0,1.1680087847730598,1.0,1.1357029775522223,1.0,1.1759977350067115,1.0
mc11,0,149.4,148.49,6484,6584,235.9292069467016,237.605924373342,0.0,0.0,0.0,0.0,1.006128358812041,1.0,0.9848116646415553,1.0,0.9929432844275137,1.0
mc11,1,80.39,80.74,1411,1474,170.2462143895971,169.98998802292755,0.0,0.0,0.0,0.0,0.9956650978449344,1.0,0.9572591587516961,1.0,1.0015073026926444,1.0
