ProblemName,Seed,T_useinf-b_usebound_b,T_useinf-b_usebound_b-no-update,N_useinf-b_usebound_b,N_useinf-b_usebound_b-no-update,DI_useinf-b_usebound_b,DI_useinf-b_usebound_b-no-update,Gap_useinf-b_usebound_b,Gap_useinf-b_usebound_b-no-update,GapQ_useinf-b_usebound_b,GapQ_useinf-b_usebound_b-no-update,TQ_useinf-b_usebound_b,TQ_useinf-b_usebound_b-no-update,NQ_useinf-b_usebound_b,NQ_useinf-b_usebound_b-no-update,DIQ_useinf-b_usebound_b,DIQ_useinf-b_usebound_b-no-update
swath3,1,182.91,183.58,21837,21504,1366.3576742147566,1434.5124166434327,0.0,0.0,0.0,0.0,0.9963503649635036,1.0,1.0154854910714286,1.0,0.9524892628059999,1.0
swath3,2,427.45,421.75,74192,74953,3250.751069608749,3254.986060379954,0.0,0.0,0.0,0.0,1.0135151155898043,1.0,0.9898469707683482,1.0,0.9986989219945505,1.0
tbfp-network,0,2356.81,2356.43,574,574,12379.634306958817,12379.01005014718,0.0,0.0,0.0,0.0,1.0001612608904147,1.0,1.0,1.0,1.000050428653754,1.0
tbfp-network,1,1683.8,1681.3,71,71,13522.093619617472,13523.121973155814,0.0,0.0,0.0,0.0,1.001486944626182,1.0,1.0,1.0,0.9999239559074906,1.0
tbfp-network,2,1088.57,1089.98,99,99,8164.959208703873,8182.989762160778,0.0,0.0,0.0,0.0,0.9987063982825373,1.0,1.0,1.0,0.9977965812030853,1.0
thor50dday,0,7200.0,7200.0,95,95,120737.42754237077,120751.74735828981,23.3,23.3,1.0,1.0,1.0,1.0,1.0,1.0,0.9998814111080601,1.0
thor50dday,1,7200.0,7200.0,12,12,123185.29182769624,123210.18956577676,21.49,21.49,1.0,1.0,1.0,1.0,1.0,1.0,0.9997979246832729,1.0
thor50dday,2,7200.0,7200.0,34,33,121637.64637207116,121826.27110621767,14.8,14.8,1.0,1.0,1.0,1.0,1.0303030303030303,1.0,0.9984516908181319,1.0
timtab1,0,73.73,73.25,64175,60661,984.6586518596392,1046.2932253011354,0.0,0.0,0.0,0.0,1.006552901023891,1.0,1.057928487825786,1.0,0.9410924471734422,1.0
timtab1,1,67.9,65.75,51540,49252,931.5505124403091,938.9431712981125,0.0,0.0,0.0,0.0,1.0326996197718632,1.0,1.046454966295785,1.0,0.9921266173674997,1.0
timtab1,2,70.92,70.44,55054,54418,930.4513441914713,903.5991250987224,0.0,0.0,0.0,0.0,1.0068143100511073,1.0,1.0116873093461722,1.0,1.0297169600400125,1.0
tr12-30,0,606.97,720.2,423661,499607,76.46148580354655,82.64980397561901,0.0,0.0,0.0,0.0,0.8427797833935018,1.0,0.8479885189759151,1.0,0.925126039332193,1.0
tr12-30,1,650.32,657.58,475420,486251,68.06324466293009,67.00175043646038,0.0,0.0,0.0,0.0,0.9889595182335229,1.0,0.9777254956802145,1.0,1.0158427835027437,1.0
tr12-30,2,397.52,403.35,213946,215444,47.14426016110756,48.642459187111285,0.0,0.0,0.0,0.0,0.9855460518160406,1.0,0.9930469170642952,1.0,0.9691997680413185,1.0
traininstance2,0,7200.0,7200.0,67099,66630,720000.0,720000.0,1e+20,1e+20,1.0,1.0,1.0,1.0,1.0070388713792586,1.0,1.0,1.0
traininstance2,1,7200.0,7200.0,52063,44225,720000.0,720000.0,1e+20,1e+20,1.0,1.0,1.0,1.0,1.1772300734878463,1.0,1.0,1.0
traininstance2,2,7200.0,7200.0,73138,73356,718053.9177109441,720000.0,6286.13,1e+20,6.28613e-17,1.0,1.0,1.0,0.9970281912863297,1.0,0.9972971079318668,1.0
traininstance6,0,7200.0,7200.0,456248,548117,662153.5170519619,650829.5727147402,634.16,609.06,1.0412110465307196,1.0,1.0,1.0,0.8323916244159549,1.0,1.0173992467643829,1.0
traininstance6,1,7200.0,7200.0,347529,453251,660387.9773833511,581236.0913114175,626.92,229.5,2.7316775599128538,1.0,1.0,1.0,0.7667473430836336,1.0,1.1361785464721343,1.0
traininstance6,2,7200.0,7200.0,454368,395633,653609.7788663838,669554.821806292,520.12,673.91,0.7717944532652729,1.0,1.0,1.0,1.1484582934183953,1.0,0.9761856050907192,1.0
trento1,0,7200.0,7200.0,57766,55337,929.096064023284,963.9043917057696,0.07,0.08,0.8750000000000001,1.0,1.0,1.0,1.0438946816777201,1.0,0.9638881947400538,1.0
trento1,1,7200.0,7200.0,51033,73064,943.7772134316938,868.1048945685768,0.1,0.06,1.6666666666666667,1.0,1.0,1.0,0.6984698346654987,1.0,1.0871695567397117,1.0
trento1,2,7200.0,7200.0,35013,36871,1030.045000401774,1006.0895354396303,1.67,3.98,0.41959798994974873,1.0,1.0,1.0,0.9496080930812834,1.0,1.023810470259663,1.0
triptim1,0,1099.43,1109.49,8,8,4685.008417839988,4710.008461569029,0.0,0.0,0.0,0.0,0.9909327709127618,1.0,1.0,1.0,0.9946921446249987,1.0
triptim1,1,747.73,752.71,7,7,4175.008439704356,4190.008483433394,0.0,0.0,0.0,0.0,0.9933839061524359,1.0,1.0,1.0,0.9964200445444571,1.0
triptim1,2,1065.09,1066.26,8,8,4350.004482226688,4355.004482226688,0.0,0.0,0.0,0.0,0.9989027066569128,1.0,1.0,1.0,0.9988518955559276,1.0
uccase12,0,7200.0,7200.0,77800,76857,972.2008708510167,972.2009199444828,0.0,0.0,0.0,0.0,1.0,1.0,1.01226953953446,1.0,0.999999949502757,1.0
uccase12,1,7200.0,7200.0,91468,84315,971.7331311570086,971.8055671335477,0.0,0.0,0.0,0.0,1.0,1.0,1.084836624562652,1.0,0.9999254624803676,1.0
uccase12,2,7200.0,7200.0,98605,89984,992.2435215411928,997.2608268875621,0.0,0.0,0.0,0.0,1.0,1.0,1.0958059210526316,1.0,0.9949689136371392,1.0
uccase9,0,7200.0,7200.0,498,545,10069.455839796014,10034.037410632813,1.98,1.98,1.0,1.0,1.0,1.0,0.9137614678899083,1.0,1.0035298282948066,1.0
uccase9,1,7200.0,7200.0,1166,702,9648.053245099552,9689.440484336834,1.48,2.73,0.5421245421245421,1.0,1.0,1.0,1.660968660968661,1.0,0.9957286244438794,1.0
uccase9,2,7200.0,7200.0,550,614,9470.707456272521,9465.212578030456,2.82,1.4,2.0142857142857142,1.0,1.0,1.0,0.8957654723127035,1.0,1.0005805340552858,1.0
uct-subprob,0,1102.62,1114.97,44339,44339,6476.302431528661,6543.711961783439,0.0,0.0,0.0,0.0,0.9889234687928822,1.0,1.0,1.0,0.989698579239358,1.0
uct-subprob,1,1631.6,1813.07,59559,65873,8419.30769426752,9021.438254140123,0.0,0.0,0.0,0.0,0.8999100972383857,1.0,0.9041488925659982,1.0,0.9332555915243035,1.0
uct-subprob,2,2506.36,2485.14,95674,94985,11342.06881624204,11258.274914968157,0.0,0.0,0.0,0.0,1.0085387543558915,1.0,1.0072537769121441,1.0,1.007442872190168,1.0
unitcal_7,0,272.59,273.78,89,89,739.8974382424475,745.0725241642879,0.0,0.0,0.0,0.0,0.9956534443713931,1.0,1.0,1.0,0.9930542520976129,1.0
unitcal_7,1,298.12,296.89,180,176,672.3522624655749,672.3728010203229,0.0,0.0,0.0,0.0,1.0041429485668094,1.0,1.0227272727272727,1.0,0.9999694536204963,1.0
unitcal_7,2,387.18,386.01,436,436,709.2261186639456,693.9821724094784,0.0,0.0,0.0,0.0,1.0030310095593378,1.0,1.0,1.0,1.0219659046882152,1.0
var-smallemery-m6j6,0,7200.0,7200.0,568323,568063,10910.237474580188,11822.917734807686,0.93,1.07,0.8691588785046729,1.0,1.0,1.0,1.0004576957133275,1.0,0.9228041435541339,1.0
var-smallemery-m6j6,1,7200.0,7200.0,656232,671886,10905.938038349394,10907.553885084966,0.87,0.86,1.0116279069767442,1.0,1.0,1.0,0.9767014047025835,1.0,0.9998518598438664,1.0
var-smallemery-m6j6,2,6729.45,6115.89,683202,669677,9102.060902958929,8611.584548946586,0.0,0.0,0.0,0.0,1.100322275253479,1.0,1.0201963035911343,1.0,1.0569554129352814,1.0
wachplan,0,2340.84,2340.02,219938,219938,26080.44444444445,26071.333333333336,0.0,0.0,0.0,0.0,1.0003504243553474,1.0,1.0,1.0,1.0003494685520922,1.0
wachplan,1,3419.67,3427.0,302179,302179,38067.444444444445,38148.88888888889,0.0,0.0,0.0,0.0,0.9978611030055442,1.0,1.0,1.0,0.9978650899982524,1.0
wachplan,2,2343.95,2343.2,198054,198054,26115.0,26111.11111111111,0.0,0.0,0.0,0.0,1.0003200751109593,1.0,1.0,1.0,1.0001489361702127,1.0
